User Name,User ID,User DOB,User Email,Transaction Date,Transaction ID,Category,Product,Price,Volume Purchased,Total Price
Norma Fisher,7c65c1e5-82e2-4662-b728-b4fa42485e3a,1955-02-12,tammy59@example.org,2024-02-12 06:13:31.672365,1846d424-c17c-4279-a3c6-612f48268673,Meat,Fish,6.0,4,24.0
Danielle Browning,9a164106-cf6a-459e-b486-2b21fb97d435,2012-10-17,corey15@example.com,2024-02-13 11:44:31.656054,9c6316b9-50f2-4455-af25-e2a25a921187,Grains,Bread,1.5,10,15.0
Danielle Browning,9a164106-cf6a-459e-b486-2b21fb97d435,2012-10-17,corey15@example.com,2024-02-15 06:54:11.329759,7a1d5006-8d72-4104-b773-83c13458a748,Fruits,Apple,1.5,2,3.0
Danielle Browning,9a164106-cf6a-459e-b486-2b21fb97d435,2012-10-17,corey15@example.com,2024-02-15 06:54:11.329759,7a1d5006-8d72-4104-b773-83c13458a748,Vegetables,Tomato,0.8,9,7.2
Danielle Browning,9a164106-cf6a-459e-b486-2b21fb97d435,2012-10-17,corey15@example.com,2024-02-15 06:54:11.329759,7a1d5006-8d72-4104-b773-83c13458a748,Grains,Rice,1.0,9,9.0
Danielle Browning,9a164106-cf6a-459e-b486-2b21fb97d435,2012-10-17,corey15@example.com,2024-02-15 06:54:11.329759,7a1d5006-8d72-4104-b773-83c13458a748,Vegetables,Onion,0.9,7,6.3
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-14 22:47:14.275546,de1b372a-d3fb-447a-be5b-1e7f9ca5499d,Grains,Oats,1.2,1,1.2
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-14 22:47:14.275546,de1b372a-d3fb-447a-be5b-1e7f9ca5499d,Vegetables,Spinach,1.5,6,9.0
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-14 22:47:14.275546,de1b372a-d3fb-447a-be5b-1e7f9ca5499d,Meat,Pork,4.0,4,16.0
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-14 22:47:14.275546,de1b372a-d3fb-447a-be5b-1e7f9ca5499d,Meat,Chicken,3.0,2,6.0
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-08 10:22:16.299557,ded733e8-b421-4aeb-9340-97cabaf3897a,Fruits,Watermelon,2.5,6,15.0
Joseph Brown,03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,1918-12-18,ypage@example.net,2024-02-08 10:22:16.299557,ded733e8-b421-4aeb-9340-97cabaf3897a,Grains,Oats,1.2,1,1.2
